level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,none,CartPole-v1,0,1000,39,18.0,20.0,9.333333333333334,0.4714045207910317,0.000533627113327384,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,0,2000,82,42.0,22.3,25.666666666666668,3.0912061651652345,-0.004067528061568737,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,0,3000,117,33.0,33.9,45.333333333333336,2.8674417556808756,-0.004851959180086851,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,1000,38,26.0,33.6,44.666666666666664,5.792715732327589,-0.03392175957560539,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,2000,74,13.0,21.2,53.666666666666664,11.323525167642018,0.09308136254549026,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,3000,114,20.0,36.3,60.333333333333336,5.436502143433364,-0.07581482827663422,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,0,1000,39,18.0,20.0,9.333333333333334,0.4714045207910317,0.0005336205358617008,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,0,2000,82,42.0,22.3,25.666666666666668,3.0912061651652345,-0.004067603964358568,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,0,3000,117,33.0,33.9,45.333333333333336,2.8674417556808756,-0.004851966165006161,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,1,1000,38,26.0,33.6,44.666666666666664,5.792715732327589,-0.03392155468463898,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,1,2000,74,13.0,21.2,53.666666666666664,11.323525167642018,0.09308148920536041,0.0,,,,,
l1,ActorCritic,avg,CartPole-v1,1,3000,114,20.0,36.3,60.333333333333336,5.436502143433364,-0.07581480592489243,0.0,,,,,
l1,ActorCritic,value,CartPole-v1,0,1000,47,20.0,20.0,9.333333333333334,0.4714045207910317,-0.003617614507675171,112.92039489746094,,,,,
l1,ActorCritic,value,CartPole-v1,0,2000,89,13.0,25.9,25.333333333333332,2.0548046676563256,-0.026268187910318375,44.81602478027344,,,,,
l1,ActorCritic,value,CartPole-v1,0,3000,131,35.0,21.5,32.333333333333336,0.4714045207910317,-0.018402518704533577,279.3366394042969,,,,,
l1,ActorCritic,value,CartPole-v1,1,1000,40,16.0,26.1,77.66666666666667,33.18969050105101,0.007059279829263687,75.33525085449219,,,,,
l1,ActorCritic,value,CartPole-v1,1,2000,77,15.0,27.0,86.33333333333333,27.632509034750278,-0.083222895860672,59.96344757080078,,,,,
l1,ActorCritic,value,CartPole-v1,1,3000,111,71.0,31.1,44.333333333333336,2.494438257849294,-0.03142694756388664,945.3663940429688,,,,,
l1,ActorCritic,gae,CartPole-v1,0,1000,49,18.0,18.1,9.333333333333334,0.4714045207910317,0.014906300231814384,54.6821403503418,,,,,
l1,ActorCritic,gae,CartPole-v1,0,2000,91,15.0,25.4,9.333333333333334,0.4714045207910317,-0.011544379405677319,37.99674606323242,,,,,
l1,ActorCritic,gae,CartPole-v1,0,3000,133,22.0,23.5,24.0,0.816496580927726,0.0025346726179122925,61.73455810546875,,,,,
l1,ActorCritic,gae,CartPole-v1,1,1000,39,14.0,17.9,31.333333333333332,4.9216076867444665,-0.005079506430774927,36.98918914794922,,,,,
l1,ActorCritic,gae,CartPole-v1,1,2000,73,17.0,27.8,11.666666666666666,3.858612300930075,-0.042252637445926666,46.58858871459961,,,,,
l1,ActorCritic,gae,CartPole-v1,1,3000,105,31.0,34.3,22.0,0.816496580927726,-0.03678670898079872,96.20207977294922,,,,,
l1,ActorCritic,none,LunarLander-v3,0,1000,11,-104.68777164118127,-138.02006775900924,-415.55019556754706,84.90788869850863,-0.013074886053800583,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,0,2000,21,-147.29674051579568,-164.29646432978498,-321.1204127370597,41.7708897205327,-0.012896346859633923,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,0,3000,34,-125.15805695981452,-115.75842675889537,-179.319017648509,52.4657095555426,-0.037804972380399704,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,1000,11,-151.5600265361575,-181.44522720712496,-755.052814227025,177.5585991318592,0.011982709169387817,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,2000,21,-236.37236451607248,-158.58228637869598,-598.5063095318765,32.90208566618935,0.001562897115945816,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,3000,32,-238.55145453914787,-198.82016548413586,-776.6261709617547,216.5901921236454,-0.005136505700647831,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,0,1000,11,-104.68777164118127,-138.02006775900924,-415.55019556754706,84.90788869850863,-0.013073762878775597,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,0,2000,21,-147.29674051579568,-164.29646432978498,-321.1204127370597,41.7708897205327,-0.01289588026702404,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,0,3000,34,-125.15805695981452,-115.75842675889537,-179.319017648509,52.4657095555426,-0.03780389577150345,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,1000,11,-151.5600265361575,-181.44522720712496,-755.052814227025,177.5585991318592,0.011980794370174408,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,2000,21,-236.37236451607248,-158.58228637869598,-598.5063095318765,32.90208566618935,0.001562635414302349,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,3000,32,-238.55145453914787,-198.82016548413586,-776.6261709617547,216.5901921236454,-0.0051359389908611774,0.0,,,,,
l1,ActorCritic,value,LunarLander-v3,0,1000,10,-82.27143875408065,-166.81299532814722,-307.6972174468183,30.52288981284485,-0.0016209699679166079,4080.81396484375,,,,,
l1,ActorCritic,value,LunarLander-v3,0,2000,21,-87.56413280241598,-190.1052118796426,-321.4879409589245,269.14614572500557,-0.004372938070446253,2268.5576171875,,,,,
l1,ActorCritic,value,LunarLander-v3,0,3000,31,-89.55866779092489,-106.37291954996195,-638.1885247632109,97.34720947680327,0.008334427140653133,3974.6455078125,,,,,
l1,ActorCritic,value,LunarLander-v3,1,1000,11,-148.9900086917849,-152.83537010430112,-623.60309304577,353.4806443769244,-0.001883423188701272,4699.23486328125,,,,,
l1,ActorCritic,value,LunarLander-v3,1,2000,22,-254.45928503497683,-148.908287892926,-712.2755031968576,672.9094151117312,-0.049457862973213196,12716.5009765625,,,,,
l1,ActorCritic,value,LunarLander-v3,1,3000,32,-158.75150459080396,-206.52835764369894,-253.05182899792666,197.5644298755835,-0.017249662429094315,7274.5927734375,,,,,
l1,ActorCritic,gae,LunarLander-v3,0,1000,11,-244.23523801484768,-177.52994162940564,-189.15104498564793,317.92917245942,0.01858040876686573,1959.47314453125,,,,,
l1,ActorCritic,gae,LunarLander-v3,0,2000,23,-390.86727090621474,-198.6825799530025,-454.9048215985661,85.23980408385282,0.05000992491841316,4409.23828125,,,,,
l1,ActorCritic,gae,LunarLander-v3,0,3000,33,-5.773255867860669,-157.0789370594306,-300.91379957750684,202.60389327433276,-5.6157628023356665e-06,1255.5625,,,,,
l1,ActorCritic,gae,LunarLander-v3,1,1000,11,-162.94607159282396,-122.9940528452521,-623.60309304577,353.4806443769244,-0.014281361363828182,941.1860961914062,,,,,
l1,ActorCritic,gae,LunarLander-v3,1,2000,21,-388.04521496979953,-197.43356421705212,-819.6995792672815,546.1815948299537,0.007094204891473055,4212.4365234375,,,,,
l1,ActorCritic,gae,LunarLander-v3,1,3000,30,-212.61798718301844,-191.74100895209668,-150.87525350505243,123.62760603935538,0.0007592784822918475,976.89306640625,,,,,
