level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,none,CartPole-v1,0,1000,39,18.0,20.0,9.333333333333334,0.4714045207910317,0.000533627113327384,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,0,2000,82,42.0,22.3,25.666666666666668,3.0912061651652345,-0.004067528061568737,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,0,3000,117,33.0,33.9,45.333333333333336,2.8674417556808756,-0.004851959180086851,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,1000,38,26.0,33.6,44.666666666666664,5.792715732327589,-0.03392175957560539,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,2000,74,13.0,21.2,53.666666666666664,11.323525167642018,0.09308136254549026,0.0,,,,,
l1,ActorCritic,none,CartPole-v1,1,3000,114,20.0,36.3,60.333333333333336,5.436502143433364,-0.07581482827663422,0.0,,,,,
