level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,value,LunarLander-v3,0,1000,10,-82.27143875408065,-166.81299532814722,-307.6972174468183,30.52288981284485,-0.0016209699679166079,4080.81396484375,,,,,
l1,ActorCritic,value,LunarLander-v3,0,2000,21,-87.56413280241598,-190.1052118796426,-321.4879409589245,269.14614572500557,-0.004372938070446253,2268.5576171875,,,,,
l1,ActorCritic,value,LunarLander-v3,0,3000,31,-89.55866779092489,-106.37291954996195,-638.1885247632109,97.34720947680327,0.008334427140653133,3974.6455078125,,,,,
l1,ActorCritic,value,LunarLander-v3,1,1000,11,-148.9900086917849,-152.83537010430112,-623.60309304577,353.4806443769244,-0.001883423188701272,4699.23486328125,,,,,
l1,ActorCritic,value,LunarLander-v3,1,2000,22,-254.45928503497683,-148.908287892926,-712.2755031968576,672.9094151117312,-0.049457862973213196,12716.5009765625,,,,,
l1,ActorCritic,value,LunarLander-v3,1,3000,32,-158.75150459080396,-206.52835764369894,-253.05182899792666,197.5644298755835,-0.017249662429094315,7274.5927734375,,,,,
