level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,value,CartPole-v1,0,1000,47,20.0,20.0,9.333333333333334,0.4714045207910317,-0.003617614507675171,112.92039489746094,,,,,
l1,ActorCritic,value,CartPole-v1,0,2000,89,13.0,25.9,25.333333333333332,2.0548046676563256,-0.026268187910318375,44.81602478027344,,,,,
l1,ActorCritic,value,CartPole-v1,0,3000,131,35.0,21.5,32.333333333333336,0.4714045207910317,-0.018402518704533577,279.3366394042969,,,,,
l1,ActorCritic,value,CartPole-v1,1,1000,40,16.0,26.1,77.66666666666667,33.18969050105101,0.007059279829263687,75.33525085449219,,,,,
l1,ActorCritic,value,CartPole-v1,1,2000,77,15.0,27.0,86.33333333333333,27.632509034750278,-0.083222895860672,59.96344757080078,,,,,
l1,ActorCritic,value,CartPole-v1,1,3000,111,71.0,31.1,44.333333333333336,2.494438257849294,-0.03142694756388664,945.3663940429688,,,,,
