level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,avg,LunarLander-v3,0,1000,11,-104.68777164118127,-138.02006775900924,-415.55019556754706,84.90788869850863,-0.013073762878775597,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,0,2000,21,-147.29674051579568,-164.29646432978498,-321.1204127370597,41.7708897205327,-0.01289588026702404,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,0,3000,34,-125.15805695981452,-115.75842675889537,-179.319017648509,52.4657095555426,-0.03780389577150345,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,1000,11,-151.5600265361575,-181.44522720712496,-755.052814227025,177.5585991318592,0.011980794370174408,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,2000,21,-236.37236451607248,-158.58228637869598,-598.5063095318765,32.90208566618935,0.001562635414302349,0.0,,,,,
l1,ActorCritic,avg,LunarLander-v3,1,3000,32,-238.55145453914787,-198.82016548413586,-776.6261709617547,216.5901921236454,-0.0051359389908611774,0.0,,,,,
