level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l1,ActorCritic,none,LunarLander-v3,0,1000,11,-104.68777164118127,-138.02006775900924,-415.55019556754706,84.90788869850863,-0.013074886053800583,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,0,2000,21,-147.29674051579568,-164.29646432978498,-321.1204127370597,41.7708897205327,-0.012896346859633923,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,0,3000,34,-125.15805695981452,-115.75842675889537,-179.319017648509,52.4657095555426,-0.037804972380399704,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,1000,11,-151.5600265361575,-181.44522720712496,-755.052814227025,177.5585991318592,0.011982709169387817,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,2000,21,-236.37236451607248,-158.58228637869598,-598.5063095318765,32.90208566618935,0.001562897115945816,0.0,,,,,
l1,ActorCritic,none,LunarLander-v3,1,3000,32,-238.55145453914787,-198.82016548413586,-776.6261709617547,216.5901921236454,-0.005136505700647831,0.0,,,,,
