level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l3,SAC,sac_continuous,Pendulum-v1,0,1000,,,-1300.6110972023218,-1399.610956321524,119.64590009754066,,,,18.24137306213379,1.2494311332702637,1.0133473873138428,0.8031863570213318
l3,SAC,sac_continuous,Pendulum-v1,0,2000,,,-1477.401705453846,-1593.007209699892,86.54111618615386,,,,51.07364273071289,0.868362545967102,0.6297888159751892,0.6010552644729614
l3,SAC,sac_continuous,Pendulum-v1,0,3000,,,-1524.2522964537093,-1174.2849165984337,35.962592871851065,,,,77.13001251220703,2.947359561920166,2.9259212017059326,0.4524730145931244
l3,SAC,sac_continuous,Pendulum-v1,1,1000,,,-1349.4915223320645,-1755.71833757416,119.89178742611499,,,,19.399370193481445,1.4277294874191284,1.596802830696106,0.8033787608146667
l3,SAC,sac_continuous,Pendulum-v1,1,2000,,,-1512.6751850263431,-1786.768243541931,39.807271733626884,,,,48.1886100769043,1.1366338729858398,0.9249156713485718,0.600184440612793
l3,SAC,sac_continuous,Pendulum-v1,1,3000,,,-1539.8960273317475,-1183.3020236618802,155.37229999951293,,,,77.73066711425781,2.2383370399475098,2.164327621459961,0.4532432556152344
